sample,acc,biosample,source_db,release,fasta
pt_scsio_43206_mmc,SRR13189216,SAMN16409660,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/215/GCF_019904215.1_ASM1990421v1/GCF_019904215.1_ASM1990421v1_genomic.fna.gz
pt_scsio_43207_mmc,SRR13189218,SAMN16409658,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/255/GCF_019904255.1_ASM1990425v1/GCF_019904255.1_ASM1990425v1_genomic.fna.gz
pt_scsio_43132_mmc,SRR13189220,SAMN16409661,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/195/GCF_019904195.1_ASM1990419v1/GCF_019904195.1_ASM1990419v1_genomic.fna.gz
pt_scsio_43205_mmc,SRR13189222,SAMN16409659,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/235/GCF_019904235.1_ASM1990423v1/GCF_019904235.1_ASM1990423v1_genomic.fna.gz
pt_scsio_43204_mmc,SRR13189225,SAMN16409657,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/275/GCF_019904275.1_ASM1990427v1/GCF_019904275.1_ASM1990427v1_genomic.fna.gz
wheat_B01_5_mmc,SRR24161087,SAMN34155282,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/866/415/GCF_036866415.1_ASM3686641v1/GCF_036866415.1_ASM3686641v1_genomic.fna.gz
wheat_W09_2_mmc,SRR24161090,SAMN34155283,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/865/745/GCF_036865745.1_ASM3686574v1/GCF_036865745.1_ASM3686574v1_genomic.fna.gz
wheat_B01_10_mmc,SRR24161086,SAMN34155284 ,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/866/445/GCF_036866445.1_ASM3686644v1/GCF_036866445.1_ASM3686644v1_genomic.fna.gz
wheat_B08_3_mmc,SRR24161084,SAMN34155286,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/865/115/GCF_036865115.1_ASM3686511v1/GCF_036865115.1_ASM3686511v1_genomic.fna.gz
wheat_W02_4_mmc,SRR24161085,SAMN34155285,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/865/055/GCF_036865055.1_ASM3686505v1/GCF_036865055.1_ASM3686505v1_genomic.fna.gz
mvirs_YL2_mmc,ERR4552602,SAMEA7279750,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/645/GCF_001688645.2_ASM168864v2/GCF_001688645.2_ASM168864v2_genomic.fna.gz
mvirs_KB18_mmc,ERR4552596,SAMEA7279744,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/705/GCA_001688705.2_ASM168870v2/GCA_001688705.2_ASM168870v2_genomic.fna.gz
mvirs_I48_mmc,ERR4552584,SAMEA7279732,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/725/GCF_001688725.2_ASM168872v2/GCF_001688725.2_ASM168872v2_genomic.fna.gz
mvirs_YL27_mmc,ERR4552608,SAMEA7279756,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/845/GCF_001688845.2_ASM168884v2/GCF_001688845.2_ASM168884v2_genomic.fna.gz
mvirs_YL45_mmc,ERR4552572,SAMEA7279720,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/905/GCF_001688905.2_ASM168890v2/GCF_001688905.2_ASM168890v2_genomic.fna.gz
mvirs_I46_mmc,ERR4552578,SAMEA7279726,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/965/GCA_001688965.2_ASM168896v2/GCA_001688965.2_ASM168896v2_genomic.fna.gz
mvirs_YL58_mmc,ERR4552554,SAMEA7279702,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/689/125/GCF_001689125.2_ASM168912v2/GCF_001689125.2_ASM168912v2_genomic.fna.gz
mmvirs_YL31_mmc,ERR4552548,SAMEA7279696,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/625/GCF_001688625.2_ASM168862v2/GCF_001688625.2_ASM168862v2_genomic.fna.gz
mvirs_I49_mmc,ERR4552590,SAMEA7279738,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/685/GCF_001688685.2_ASM168868v2/GCF_001688685.2_ASM168868v2_genomic.fna.gz
mvirs_YL44_mmc,ERR4552566,SAMEA7279714,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/765/GCF_001688765.2_ASM168876v2/GCF_001688765.2_ASM168876v2_genomic.fna.gz
mvirs_KB1_mmc,ERR4552542,SAMEA7279690,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/689/055/GCF_001689055.2_ASM168905v2/GCF_001689055.2_ASM168905v2_genomic.fna.gz
mvirs_YL32_mmc,ERR4552560,SAMEA7279708,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/665/GCA_001688665.2_ASM168866v2/GCA_001688665.2_ASM168866v2_genomic.fna.gz
mvirs_HS_mmc,ERR4552614,SAMEA7279762,MVIRS,r2025_05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1/GCF_000017765.1_ASM1776v1_genomic.fna.gz
mvirs_LT2p22_mmc,ERR4552620,SAMEA7279768,MVIRS,r2025_05,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/analyses/cryptic_phage_analysis/mvirs/LR881463.1.fna.gz
transduct_e_faec_mmc,ERR3440511,SAMEA5778177,MVIRS,r2025_05,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/analyses/cryptic_phage_analysis/mvirs/NC_004688.1.fna.gz
transduct_b_subt_mmc,ERR3440512,SAMEA5778178,MVIRS,r2025_05,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/analyses/cryptic_phage_analysis/mvirs/NC_000964.3.fna.gz

